Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Mike Winterfield,Active Impact Investments,,,,Venture Capital,www.activeimpactinvestments.com,"Canada, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.13,"Vancouver, Canada",www.activeimpactinvestments.com,,,,,,,,,,,,,,,
David Stark,Ground Up Ventures,,,,Venture Capital,www.groundup.vc,"Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.05,"Philadelphia, PA",www.groundup.vc,,,,,,,,,,,,,,,
Eric Reiner,Vine Capital Management,,,,Venture Capital,www.vineventures.com,"Central America, Israel, South America, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.30,"New York, NY",www.vineventures.com,,Yes,10%,1.8,3,Over 5X and under 10X,Liquidation,Weak,Accept Others DD Reports,Weeks,3,5%,Low,45%,Case by case
Nasir Bin Olu Dara Jones,QueensBridge Venture Partners,,,,Venture Capital,www.qbvp.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Los Angeles, CA",www.qbvp.com,,,,,,,,,,,,,,,
Matthieu de Chanville,Alliance Ventures,,,,Corporate Venture Capital,https://alliancernm.com/home-alliance/alliance-ventures/,,Early Stage,,"Convertible Debt,SAFE,Debt",$1.00,$30.00,"Amsterdam, Netherlands",,,,,,,,,,,,,,,,
Wesley Tang-Wymer,Rucker Park Capital,,,,Venture Capital,www.rpvc.com,North America,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"New York, NY",www.rpvc.com,,,,,,,,,,,,,,,
Hunter Babcock,Atland Ventures,,,,Venture Capital,www.atlandventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Minneapolis, MN",www.atlandventures.com,,,,,,,,,,,,,,,
Julie K. Goonewardene,UT Horizon Fund,,,,Venture Capital,www.uts-innovation.com/horizon-fund,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Austin, TX",www.uts-innovation.com/horizon-fund,,No,80%,8.0,50,2X - 5X,"Acquisition,Liquidation",On Demand,Outside Reliance,Weeks,5,10%,Low,50%,No
Julie McKenna,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,,,,,,,,,,,,,,,
Jesse Singerman,Prairie Ventures,,,,Venture Capital,www.prairieventures.net,"Canada, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.80,"Omaha, NE",www.prairieventures.net,,,,,,,,,,,,,,,
Inbal Tal,Veritas Venture Partners,,,,Venture Capital,www.veritasvc.com,"Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.35,"Ra'anana, Israel",www.veritasvc.com,,Yes,30%,20.0,5,2X - 5X,Revenue driven returns,On Demand,Via Due Diligence Committee,Days,5,50%,High,12%,No
Haig Hengen,Front Row,,,,Venture Capital,www.frontrowfund.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"Newtown, PA",www.frontrowfund.com,,,,,,,,,,,,,,,
Kenny Lee,Kid VC,,,,Venture Capital,www.kidventurecapital.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.02,"Baltimore, MD",www.kidventurecapital.com,,,,,,,,,,,,,,,
Lucas Arzola,Parallel18,,,,Venture Capital,www.parallel18.com,"Europe, South America, United States",,,Grant,$0.04,$0.08,"San Juan, PR",www.parallel18.com,,,,,,,,,,,,,,,
Saeed Amidi,Saeed Amidi,,,,Angel (individual),,"408, 650, California","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.02,"Sunnyvale, CA",,,,,,,,,,,,,,,,
Ashmeet Sidana,Engineering Capital,,,,Venture Capital,www.engineeringcapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"San Francisco, CA",www.engineeringcapital.com,,,,,,,,,,,,,,,
Sundaram Sivakumar,Brand Capital,,,,Corporate Venture Capital,www.brandcapital.co.in,"Americas, Asia, Canada, Europe, Middle East, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.02,"Mumbai, India",www.brandcapital.co.in,,,,,,,,,,,,,,,
Will Prendergast,Frontline Ventures,,,,Venture Capital,www.frontline.vc,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.59,"Dublin, Ireland",www.frontline.vc,,,,,,,,,,,,,,,
Carey Lai,Conductive Ventures,,,,Venture Capital,www.conductive.vc,"North America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.70,"Palo Alto, CA",www.conductive.vc,,,,,,,,,,,,,,,
Burton E. McGillivray,Cloquet Capital Partners,,,,Venture Capital,www.cloquetcapital.com,"New York, New York Metro","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"New Cannan, CT",www.cloquetcapital.com,,,,,,,,,,,,,,,
Manu Midha,WhiteHill Ventures,,,,Venture Capital,www.whitehillvc.com,"India, Pakistan, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,,www.whitehillvc.com,,,,,,,,,,,,,,,
Pat Hwang,Okapi Venture Capital,,,,Venture Capital,www.okapivc.com,"California, Southern California","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.75,$3.00,,www.okapivc.com,,,,,,,,,,,,,,,
Daniel Darling,Darling Ventures,,,,Venture Capital,www.darlingventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Francisco, CA",www.darlingventures.com,,,,,,,,,,,,,,,
Daniel Santamarina,Dux Capital,,,,Venture Capital,www.duxcapital.vc,"Central America, Mexico, South America, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Mexico City, Mexico",www.duxcapital.vc,,,,,,,,,,,,,,,
Laurie Menoud,At One Ventures,,,,Venture Capital,www.atoneventures.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.30,"San Francisco, CA",www.atoneventures.com,,,,,,,,,,,,,,,
Israel Y. Ganot,Aviv Growth Partners,,,,Venture Capital,www.avivgrowth.com,"Israel, United States","Early Stage,Joint Venture,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"Boston, MA",www.avivgrowth.com,,,,,,,,,,,,,,,
Susan Moring,Cortado Ventures,,,,Venture Capital,www.cortado.ventures,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Oklahoma City, OK",www.cortado.ventures,,,,,,,,,,,,,,,
Brandon Shelton,TFX Capital,,,,Venture Capital,www.tfxcap.com,United States,"Bridge,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.05,"Charlotte, NC",www.tfxcap.com,,,,,,,,,,,,,,,
Will Cruz,SC Launch,,,,Government,www.scra.org/sclaunchinc,United States,"Bridge,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Columbia, SC",www.scra.org/sclaunchinc,,,,,,,,,,,,,,,
Kees Koolen,EQT Ventures,,,,Venture Capital,www.eqtventures.com,"Europe, United States","Early Stage,Late Stage,Out of Business,Seed",,"Convertible Debt,SAFE,Debt",$0.12,$8.82,"Stockholm, Sweden",www.eqtventures.com,,,,,,,,,,,,,,,
Laura González-Estéfani,TheVentureCity,,,,Venture Capital,www.theventure.city,"Americas, Southern Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.40,"Miami, FL",www.theventure.city,,,,,,,,,,,,,,,
Michael Mealling,Starbridge Venture Capital,,,,Venture Capital,www.starbridgevc.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.50,"New York, NY",www.starbridgevc.com,,,,,,,,,,,,,,,
Kerry Rupp,True Wealth Ventures,,,,Venture Capital,www.truewealthvc.com,"Arkansas, DC Metro, Great Lakes, Louisiana, Mid Atlantic, Midwest, Mountain, New England, New York Metro, North America, Northeast, Northwest, Oklahoma, Southeast, Southern California, Southwest, US Territories, West Coast","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Austin, TX",www.truewealthvc.com,,,,,,,,,,,,,,,
Wilfred E. Jaeger,Three Arch Partners,,,,Venture Capital,www.threearchpartners.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$1.50,"San Mateo, CA",www.threearchpartners.com,,,,,,,,,,,,,,,
Pedro Machado,Alpha4 Ventures,,,,Venture Capital,www.alpha4ventures.com,"Argentina, Belize, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama",Early Stage,,"Convertible Debt,SAFE,Debt",$0.01,$0.30,"Miami, FL",www.alpha4ventures.com,,,,,,,,,,,,,,,
William Neal,Piedmont Venture Partners,,,,Venture Capital,http://www.piedmontpartnersgroup.com/,"North Carolina, South Carolina","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.30,"Charlotte, NC",,,,,,,,,,,,,,,,
Jyri Engestrom,Yes VC,,,,Venture Capital,www.yes.vc,"Americas, Canada, Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"San Francisco, CA",www.yes.vc,Over $10 Billion,No,45%,5.0,135,10X and above,"Acquisition,Revenue driven returns",Weak,Heavily Involved ,Months,4,14%,High,12%,No
Eric Si-liang Tan,Innotech Capitals,,,,Venture Capital,www.innotechx.com,"China, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$10.00,"Shanghai, China",www.innotechx.com,,,,,,,,,,,,,,,
Caroline Gibson,True Wealth Ventures,,,,Venture Capital,www.truewealthvc.com,"Arkansas, DC Metro, Great Lakes, Louisiana, Mid Atlantic, Midwest, Mountain, New England, New York Metro, North America, Northeast, Northwest, Oklahoma, Southeast, Southern California, Southwest, US Territories, West Coast","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Austin, TX",www.truewealthvc.com,,,,,,,,,,,,,,,
Frank Axel Kalkbrenner,Boehringer Ingelheim Venture Fund,,,,Venture Capital,www.boehringer-ingelheim-venture.com,"Europe, Israel, North America","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.34,$1.70,"Ingelheim am Rhein, Germany",www.boehringer-ingelheim-venture.com,,,,,,,,,,,,,,,
Igor Bogachev,Skolkovo Foundation,,,,Limited Partner,sk.ru,Russia,"Buy-out,Early Stage,Late Stage,Seed",,Grant,$0.10,$0.50,"Moscow, Russia",sk.ru,,,,,,,,,,,,,,,
Sherman I. Chu,Grayhawk Capital,,,,Venture Capital,www.grayhawkcapital.us,Southwest,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.60,"Scottsdale, AZ",www.grayhawkcapital.us,,,,,,,,,,,,,,,
Mina Sooch,Apjohn Ventures,,,,Venture Capital,www.apjohnventures.com,"Michigan, Midwest","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.apjohnventures.com,,,,,,,,,,,,,,,
Sophie-Charlotte Moatti,Mighty Capital,,,,Venture Capital,www.mighty.capital,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$3.00,"San Francisco, CA",www.mighty.capital,,,,,,,,,,,,,,,
Kevin Tanaka,Corner Ventures,,,,Venture Capital,cornerventures.com,"Asia, Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$2.00,"Palo Alto, CA",cornerventures.com,,,,,,,,,,,,,,,
Frances Hu,Arrize Capital,,,,Venture Capital,www.arrizecapital.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$5.00,$100.00,"Hong Kong, Hong Kong",www.arrizecapital.com,,,,,,,,,,,,,,,
Amit Shah,Artiman Ventures,,,,Venture Capital,www.artiman.com,"Canada, India, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$2.50,"Palo Alto, CA",www.artiman.com,,,,,,,,,,,,,,,
Paul Weinstein,Azure Capital Partners,,,,Venture Capital,www.azurecap.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$5.00,"San Francisco, CA",www.azurecap.com,,,,,,,,,,,,,,,
Steve Hale,Album VC,,,,Venture Capital,www.album.vc,"California, Mountain","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.25,"Lehi, UT",www.album.vc,,,,,,,,,,,,,,,
Paul Grossinger,Gaingels,,,,Venture Capital,www.gaingels.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.05,"New York, NY",www.gaingels.com,,,,,,,,,,,,,,,
Philip James Ferneau,Borealis Ventures,,,,Venture Capital,www.borealis.vc,"United Kingdom, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.25,"Hanover, NH",www.borealis.vc,,,,,,,,,,,,,,,
Kyle A. Lefkoff,Boulder Ventures,,,,Venture Capital,www.boulderventures.com,"Colorado, Mid Atlantic","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"Boulder, CO",www.boulderventures.com,,,,,,,,,,,,,,,
Christine Demode,Mérieux Equity Partners,,,,Growth/Expansion,www.merieux-partners.com,"Europe, North America","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.57,$9.04,"Lyon, France",www.merieux-partners.com,,,,,,,,,,,,,,,
Bernard Vogel,Endeavour Vision,,,,Venture Capital,www.endeavourvision.com,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$2.50,"Geneva, Switzerland",www.endeavourvision.com,,,,,,,,,,,,,,,
Marie Klemchuk,Sequoia Capital,,,,Venture Capital,www.sequoiacap.com,"China, Europe, India, Israel, South America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$20.00,$0.01,"Menlo Park, CA",www.sequoiacap.com,,,,,,,,,,,,,,,
Stephen M. Krupa,Psilos Group Managers,,,,Venture Capital,www.psilos.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.80,$2.50,"New York, NY",www.psilos.com,,,,,,,,,,,,,,,
John B. Breen,Sanabil Investments,,,,Asset Manager,www.sanabil.com,,,,"Convertible Debt,SAFE,Debt",$25.00,$250.00,"Riyadh, Saudi Arabia",www.sanabil.com,,,,,,,,,,,,,,,
Sourish Ghosh,Atland Ventures,,,,Venture Capital,www.atlandventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Minneapolis, MN",www.atlandventures.com,,,,,,,,,,,,,,,
Axel Bichara,Bolt Innovation Group,,,,Venture Capital,www.bolt.io,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.15,"Boston, MA",www.bolt.io,,,,,,,,,,,,,,,
Stephanie Campbell,Houston Angel Network,,,,Angel Group,www.houstonangelnetwork.org,United States,"Angel Round,Bridge,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.10,"Houston, TX",www.houstonangelnetwork.org,,,,,,,,,,,,,,,
Darwin Ling,Good AI Capital,,,,Venture Capital,www.goodai.capital,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.30,$4.00,,www.goodai.capital,,,,,,,,,,,,,,,
Mark M. Colodny,Warburg Pincus,,,,PE/Buyout,www.warburgpincus.com,"Brazil, Canada, China, Europe, Hong Kong, India, Middle East, Southeast Asia, Taiwan, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$100.00,$2.00,"New York, NY",www.warburgpincus.com,Over $10 Billion,No,50%,2.0,83,10X and above,Acquisition,Heavily Supportive,Heavily Involved ,Months,2,9%,High,28%,Case by case
Andrew Krowne,Dolby Family Ventures,,,,Venture Capital,www.dolbyventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.30,$0.50,,www.dolbyventures.com,,,,,,,,,,,,,,,
Timothy J. Wollaeger,Kingsbury Capital Partners,,,,Venture Capital,https://www.kingsburycap.com/,California,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,,,,,,,,,,,,,,,,,
Terry Kay,Pasadena Angels,,,,Angel Group,www.pasadenaangels.com,Southern California,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Altadena, CA",www.pasadenaangels.com,,,,,,,,,,,,,,,
Ajay Agarwal,Bain Capital Ventures,,,,Venture Capital,www.baincapitalventures.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$10.00,"Boston, MA",www.baincapitalventures.com,,,,,,,,,,,,,,,
Bernard W. Gray,Gray Ventures,,,,Venture Capital,www.grayventures.com,"Northeast, Northwest, Southeast, Southern California, Southwest, US Territories","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.grayventures.com,,,,,,,,,,,,,,,
Jay Baker,Nashville Capital Network,,,,Angel Group,www.nashvillecapital.com,Tennessee,"Angel Round,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$3.00,,www.nashvillecapital.com,,,,,,,,,,,,,,,
Kevin Raidy,Cowen Healthcare Investments,,,,Venture Capital,,"United States, Western Europe","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$2.00,"New York, NY",,,,,,,,,,,,,,,,
Albert L. Wiegman,Fresenius Medical Care Ventures,,,,Corporate Venture Capital,www.fmcv.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,"Bad Homburg, Germany",www.fmcv.com,,,,,,,,,,,,,,,
Victor Thorne,Broadline Capital,,,,Venture Capital,www.broadlinecapital.com,"Asia, North America","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$3.00,"New York, NY",www.broadlinecapital.com,,,,,,,,,,,,,,,
Ian Bund,MBW Venture Partners,,,,Venture Capital,,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$3.00,,,,,,,,,,,,,,,,,
Steven A. Markowitz,Goldin Ventures,,,,Family Office,www.goldinventures.com,Mid Atlantic,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"Macungie, PA",www.goldinventures.com,,,,,,,,,,,,,,,
Auren Hoffman,Auren Hoffman,,,,Angel (individual),,"408, 650, California, Illinois, New York, North Carolina, Wisconsin","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.03,"San Francisco, CA",,,,,,,,,,,,,,,,
Stuart Larkins,Chicago Ventures,,,,Venture Capital,www.chicagoventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$3.00,"Chicago, IL",www.chicagoventures.com,,,,,,,,,,,,,,,
Patrick Keefe,Build Ventures,,,,Venture Capital,www.buildventures.ca,Canada,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.04,$0.39,"Halifax, Canada",www.buildventures.ca,,,,,,,,,,,,,,,
Ryan Hoover,Weekend Fund,,,,Venture Capital,weekend.fund, ,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.02, ,weekend.fund,,,,,,,,,,,,,,,
Paul R. Batcheller,PrairieGold Venture Partners,,,,Venture Capital,www.pgvp.com,Midwest,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"Sioux Falls, SD",www.pgvp.com,,,,,,,,,,,,,,,
Lydia Idem,LoftyInc Capital Management,,,,Venture Capital,www.loftyinccapital.vc,Western Africa,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.30,"Lagos, Nigeria",www.loftyinccapital.vc,,,,,,,,,,,,,,,
Chaim Meir Tessler,OurCrowd,,,,Venture Capital,www.ourcrowd.com,"Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$2.00,"New York, NY",www.ourcrowd.com,,,,,,,,,,,,,,,
Sunil Nagaraj,Ubiquity Ventures,,,,Venture Capital,www.ubiquity.vc,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$2.00,,www.ubiquity.vc,,,,,,,,,,,,,,,
Venkat V. Srinivasan,Innospark Ventures,,,,Venture Capital,www.innosparkventures.com,New England,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.50,"Boston, MA",www.innosparkventures.com,,,,,,,,,,,,,,,
Peter Livingston,Unpopular Ventures,,,,Venture Capital, https://venture.angellist.com/unpopularvc/syndicate, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.10,"Seattle, WA", ,,,,,,,,,,,,,,,
Philip H. Reicherz,Magnolia Ventures (New York),,,,Venture Capital,www.magventuresllc.com,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"New York, NY",www.magventuresllc.com,,,,,,,,,,,,,,,
Frederick C. Tecce,Cross Atlantic Capital Partners,,,,Venture Capital,www.xacp.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.70,"Radnor, PA",www.xacp.com,Over $10Billion,Yes,80%,13.0,100,2X - 5X,"Acquisition,Liquidation",Heavily Supportive,Via Due Diligence Committee,Months,3,35%,Low,0%,Yes
Glenn Argenbright,Quake Capital,,,,Accelerator/Incubator,www.quakecapital.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.02,"Austin, TX",www.quakecapital.com,,,,,,,,,,,,,,,
,Rustic Canyon Partners,,,,Venture Capital,www.rusticcanyon.com,"California, Southeast, Southwest, Washington","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$1.00,"Santa Monica, CA",www.rusticcanyon.com,,,,,,,,,,,,,,,
Matthew W. De Dominicis,Norwest Venture Partners,,,,Venture Capital,www.nvp.com,"India, Israel, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$2.00,$15.00,"Palo Alto, CA",www.nvp.com,,,,,,,,,,,,,,,
Andrew More,BlueStone Venture Partners,,,,Venture Capital,www.bluestonevp.com,Southwest,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$1.00,,www.bluestonevp.com,,,,,,,,,,,,,,,
Sena K. Biswas,VIMAC Ventures,,,,Venture Capital,www.vimac.com,"Canada, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$15.00,,www.vimac.com,,,,,,,,,,,,,,,
Arlan Hamilton,Backstage Capital,,,,Venture Capital,www.backstagecapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Los Angeles, CA",www.backstagecapital.com,,,,,,,,,,,,,,,
Kevin Melia,Storm Ventures,,,,Venture Capital,www.stormventures.com,"Asia, Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.50,"Menlo Park, CA",www.stormventures.com,,,,,,,,,,,,,,,
Vasudev Badarinarayan Kulkarni,CourtsideVC,,,,Venture Capital,www.courtsidevc.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$2.50,"New York, NY",www.courtsidevc.com,,,,,,,,,,,,,,,
William R. Baumel,RWI Ventures,,,,Venture Capital,www.rwiventures.com,"Asia, Middle East, North America, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.rwiventures.com,,,,,,,,,,,,,,,
James C. Gale,Signet Healthcare Partners,,,,Growth/Expansion,www.signethealthcarepartners.com,"Europe, North America","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$1.50,"New York, NY",www.signethealthcarepartners.com,,,,,,,,,,,,,,,
Brad Garlinghouse,Brad Garlinghouse,,,,Angel (individual), ,"408, 650, California",,,"Convertible Debt,SAFE,Debt",$0.01,$0.25,"San Francisco, CA", ,,,,,,,,,,,,,,,
,Deep Space Ventures,,,,Venture Capital,www.deepspacevc.com,Texas,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Dallas, TX",www.deepspacevc.com,,,,,,,,,,,,,,,
Ross Jacobson,3311 Ventures,,,,Venture Capital,www.3311ventures.com, ,,,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"Los Angeles, CA",www.3311ventures.com,,,,,,,,,,,,,,,
Carey Ng,Mesa Verde Venture Partners,,,,Venture Capital,www.mesaverdevp.com,"Southern California, Southwest","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"La Jolla, CA",www.mesaverdevp.com,,,,,,,,,,,,,,,
Thomas Lavin,New Science Ventures,,,,Venture Capital,www.newscienceventures.com,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.80,"New York, NY",www.newscienceventures.com,,,,,,,,,,,,,,,
,Global Coin Ventures,,,,Venture Capital,www.globalcoin.ventures,"Asia, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.05,"New York, NY",www.globalcoin.ventures,,,,,,,,,,,,,,,
Ryan Baker,Ignition Partners,,,,Venture Capital,www.ignition.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.60,$1.00,"Bellevue, WA",www.ignition.vc,,,,,,,,,,,,,,,
Neal Mody,Zoic Capital,,,,Venture Capital,www.zoiccapital.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$2.50,"Seattle, WA",www.zoiccapital.com,,,,,,,,,,,,,,,
