Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Richard Chen,Iterative Ventures,,,,Angel (individual),https://www.iterativeventure.com/,Asia,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"San Francisco, CA",,,,,,,,,,,,,,,,
Shantnu Sharma,AMD Ventures,,,,Corporate Venture Capital,www.amdventures.com, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$10.00,"Santa Clara, CA",www.amdventures.com,,,,,,,,,,,,,,,
Larry D. Maschhoff,NewGate Capital Partners,,,,Growth/Expansion,www.newgatecapitalpartners.com,United States,,,"Convertible Debt,SAFE,Debt",$0.05,$2.00,"Winter Park, FL",www.newgatecapitalpartners.com,,,,,,,,,,,,,,,
Isabela Chick,Founders Factory,,,,Accelerator/Incubator,www.foundersfactory.com,,Seed,,"Convertible Debt,SAFE,Debt",$0.04,$0.21,"London, United Kingdom",www.foundersfactory.com,,,,,,,,,,,,,,,
Katharine Allison,Sand Hill Angels,,,,Angel Group,www.sandhillangels.com,United States,"Angel Round,Bridge,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Mountain View, CA",www.sandhillangels.com,,,,,,,,,,,,,,,
Melissa Mears,Octopus Ventures,,,,Venture Capital,www.octopusventures.com,Europe,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.13,$1.33,"London, United Kingdom",www.octopusventures.com,,,,,,,,,,,,,,,
John H. Friedman,Easton Capital Investment Group,,,,Venture Capital,www.eastoncapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$20.00,,www.eastoncapital.com,,,,,,,,,,,,,,,
Shirley Chen,TransLink Capital,,,,Venture Capital,www.translinkcapital.com,"Asia, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.60,"Palo Alto, CA",www.translinkcapital.com,,,,,,,,,,,,,,,
Oliver Hopkinson,Revelis Capital Group,,,,Family Office,www.reveliscapitalgroup.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.reveliscapitalgroup.com,,,,,,,,,,,,,,,
Mitchell Rosich,Athenian Venture Partners,,,,Venture Capital,www.athenianvp.com,"Midwest, Southeast, Southern California","Buy-out,Early Stage,IPO,M&A,Seed",,"Convertible Debt,SAFE,Debt",$0.30,$0.80,"Athens, OH",www.athenianvp.com,,,,,,,,,,,,,,,
Chad S. Alfeld,Landmark Partners an Ares Company,,,,Secondary Buyer,www.landmarkpartners.com,"Americas, Asia, Canada, Europe, Middle East, United States","Add-on,Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Secondary Transaction - Private,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$100.00,,www.landmarkpartners.com,,,,,,,,,,,,,,,
Vincent Wols,Forward VC,,,,Venture Capital,forwardvc.com, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,Netherlands,forwardvc.com,,,,,,,,,,,,,,,
Gilad Rosenberg,Clal Biotechnology Industries (TAE: CBI),,,,Venture Capital,www.cbi.co.il,"Israel, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.cbi.co.il,,,,,,,,,,,,,,,
Hem Suri,Spark Growth Ventures,,,,Venture Capital,www.sparkgv.com,"Canada, England, France, Germany, India, Singapore, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.sparkgv.com,,,,,,,,,,,,,,,
Jeff Pomeranz,Right Side Capital Management,,,,Venture Capital,www.rightsidecapital.com,"Canada, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.02,"San Francisco, CA",www.rightsidecapital.com,,,,,,,,,,,,,,,
Jérôme Nycz,BDC Capital,,,,Venture Capital,,Canada,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$2.50,$0.03,"Montreal, Canada",,,,,,,,,,,,,,,,
Ying Zhang,Matrix Partners China,,,,Venture Capital,www.matrixpartners.cn,China,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.48,$10.00,,www.matrixpartners.cn,,,,,,,,,,,,,,,
Ravi Venkatesan,Kalaari Capital,,,,Venture Capital,www.kalaari.com,"India, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Bangalore, India",www.kalaari.com,,,,,,,,,,,,,,,
Pascal Levensohn,Pascal Levensohn,,,,Venture Capital,www.pascallevensohn.com,California,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$0.05,"San Francisco, CA",www.pascallevensohn.com,,,,,,,,,,,,,,,
